UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.193_N.04_193/04/POS_1,SARAWAK,POSTAL VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/POS,UNDI POS,UNDI POS,1,170,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,108,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,3,,,,,,,,,,,,,,,,,,,,,111,6,53,,
P.193_N.04_193/04/00_1,SARAWAK,EARLY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/00,UNDI AWAL,"RUANG A. DEWAN BADMINTON, KOMPLEKS POLIS TABUAN JAYA",1,22,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,21,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,1,,,,,,,,,,,,,,,,,,,,,22,0,0,,
P.193_N.04_193/04/01_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/01,TELAGA AIR,SEK. KEB. TELAGA AIR,1,225,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,179,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,29,,,,,,,,,,,,,,,,,,,,,208,17,0,,
P.193_N.04_193/04/01_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/01,TELAGA AIR,SEK. KEB. TELAGA AIR,2,483,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,407,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,72,,,,,,,,,,,,,,,,,,,,,479,4,0,,
P.193_N.04_193/04/01_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/01,TELAGA AIR,DEWAN SELANG LAUT,1,250,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,220,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,24,,,,,,,,,,,,,,,,,,,,,244,6,0,,
P.193_N.04_193/04/02_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/02,SALAK,SEK. KEB. KPG. SALAK,1,343,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,307,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,34,,,,,,,,,,,,,,,,,,,,,341,2,0,,
P.193_N.04_193/04/03_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/03,TEMENGGONG,SEK. KEB. KPG. TEMENGGONG,1,354,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,323,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,25,,,,,,,,,,,,,,,,,,,,,348,6,0,,
P.193_N.04_193/04/04_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/04,JAYA BAKTI,SURAU KPG. JAYA BAKTI,1,185,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,125,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,58,,,,,,,,,,,,,,,,,,,,,183,2,0,,
P.193_N.04_193/04/05_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/05,SANTUBONG,SEK. KEB. SANTUBONG,1,254,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,199,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,49,,,,,,,,,,,,,,,,,,,,,248,6,0,,
P.193_N.04_193/04/05_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/05,SANTUBONG,SEK. KEB. SANTUBONG,2,409,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,315,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,89,,,,,,,,,,,,,,,,,,,,,404,5,0,,
P.193_N.04_193/04/06_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/06,BUNTAL,DEWAN SERBAGUNA SG. LUMUT,1,283,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,256,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,25,,,,,,,,,,,,,,,,,,,,,281,2,0,,
P.193_N.04_193/04/06_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/06,BUNTAL,SEK. KEB. KPG. BUNTAL,1,278,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,245,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,27,,,,,,,,,,,,,,,,,,,,,272,6,0,,
P.193_N.04_193/04/06_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.04,PANTAI DAMAI,193/04/06,BUNTAL,SEK. KEB. KPG. BUNTAL,2,454,PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,394,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,54,,,,,,,,,,,,,,,,,,,,,448,6,0,,
