Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MAHFUZ ROSLAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO DANYAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO VS MOGAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,1035,146,177,474,797,81,157,UNDI POS,UNDI POS
2,132/29/00,"IPD PORT DICKSON, KHEMAH A",1,32,2,2,28,32,0,0,UNDI AWAL ,UNDI AWAL
3,132/30/00,"IPD PORT DICKSON, KHEMAH B",1,19,1,1,17,19,0,0,UNDI AWAL ,UNDI AWAL
4,132/31/00,"BILIK SERI PINANG, BLOK MAWAR IPD PORT DICKSON",1,82,13,6,63,82,0,0,UNDI AWAL ,UNDI AWAL
4,132/31/00,"HANGAR PUSASDA, PORT DICKSON",1,439,129,85,215,429,10,0,UNDI AWAL ,UNDI AWAL
4,132/31/00,"HANGAR PUSASDA, PORT DICKSON",2,436,126,84,217,427,9,0,UNDI AWAL ,UNDI AWAL
4,132/31/00,"HANGAR PUSASDA, PORT DICKSON",3,447,173,72,197,442,5,0,UNDI AWAL ,UNDI AWAL
4,132/31/00,"HANGAR PUSASDA, PORT DICKSON",4,437,168,70,190,428,9,0,UNDI AWAL ,UNDI AWAL
4,132/31/00,"HANGAR PUSASDA, PORT DICKSON",5,436,127,76,210,413,23,0,UNDI AWAL ,UNDI AWAL
4,132/31/00,"HANGAR PUSASDA, PORT DICKSON",6,392,110,78,192,380,11,1,UNDI AWAL ,UNDI AWAL
4,132/31/00,"HANGAR PUSASDA, PORT DICKSON",7,345,92,63,187,342,3,0,UNDI AWAL ,UNDI AWAL
4,132/31/00,"HANGAR PUSASDA, PORT DICKSON",8,382,102,58,211,371,11,0,UNDI AWAL ,UNDI AWAL
5,132/32/00,IPD PORT DICKSON KHEMAH C,1,30,10,4,16,30,0,0,UNDI AWAL ,UNDI AWAL
5,132/32/00,DEWAN SERBAGUNA KEM SEGENTING,1,528,124,149,245,518,10,0,UNDI AWAL ,UNDI AWAL
5,132/32/00,DEWAN SERBAGUNA KEM SEGENTING,2,523,173,116,232,521,2,0,UNDI AWAL ,UNDI AWAL
5,132/32/00,DEWAN SERBAGUNA KEM SEGENTING,3,436,117,97,214,428,8,0,UNDI AWAL ,UNDI AWAL
6,132/33/00,BILIK LATIHAN BLOK MAWAR IPD PORT DICKSON,1,334,46,23,258,327,7,0,UNDI AWAL ,UNDI AWAL
7,132/29/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,1,223,5,138,72,215,8,0,TANAH MERAH ,UNDI BIASA
7,132/29/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,2,543,10,382,150,542,0,1,TANAH MERAH ,UNDI BIASA
7,132/29/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,3,593,18,427,126,571,22,0,TANAH MERAH ,UNDI BIASA
7,132/29/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,4,591,16,447,118,581,10,0,TANAH MERAH ,UNDI BIASA
7,132/29/01,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG TANAH MERAH,5,588,10,464,104,578,10,0,TANAH MERAH ,UNDI BIASA
